#HDR T 20000.000000
#HDR DT 0.000500
#HDR theta0 0.060000
#HDR omega0 0.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
14800.000000 7.400001 -0.022795 0.173803 0.223595
14900.000000 7.450000 -0.013861 0.182811 0.135971
15000.000000 7.500000 -0.004588 0.187344 0.045009
15100.000000 7.550000 0.004797 0.187293 -0.047059
15200.000000 7.600000 0.014065 0.182658 -0.137971
15300.000000 7.650001 0.022988 0.173552 -0.225495
15400.000000 7.700000 0.031349 0.160201 -0.307485
15500.000000 7.750000 0.038943 0.142930 -0.381934
15600.000000 7.800000 0.045584 0.122163 -0.447023
15700.000000 7.850000 0.051109 0.098410 -0.501166
15800.000000 7.900001 0.055385 0.072251 -0.543046
15900.000000 7.950000 0.058305 0.044327 -0.571649
16000.000000 8.000000 0.059799 0.015319 -0.586282
16100.000000 8.050000 0.059831 -0.014062 -0.586589
16200.000000 8.100000 0.058399 -0.043100 -0.572566
16300.000000 8.150001 0.055538 -0.071085 -0.544550
16400.000000 8.200001 0.051319 -0.097333 -0.503220
16500.000000 8.250000 0.045845 -0.121202 -0.449577
16600.000000 8.300000 0.039248 -0.142107 -0.384927
16700.000000 8.350000 0.031692 -0.159537 -0.310844
16800.000000 8.400001 0.023360 -0.173065 -0.229137
16900.000000 8.450001 0.014456 -0.182357 -0.141807
17000.000000 8.500000 0.005198 -0.187187 -0.050995
17100.000000 8.550000 -0.004186 -0.187436 0.041069
17200.000000 8.600000 -0.013469 -0.183097 0.132124
17300.000000 8.650001 -0.022421 -0.174278 0.219936
17400.000000 8.700001 -0.030825 -0.161194 0.302349
17500.000000 8.750000 -0.038475 -0.144167 0.377347
17600.000000 8.800000 -0.045183 -0.123613 0.443097
17700.000000 8.850000 -0.050786 -0.100038 0.497996
17800.000000 8.900001 -0.055146 -0.074017 0.540711
17900.000000 8.950001 -0.058157 -0.046187 0.570203
18000.000000 9.000000 -0.059746 -0.017229 0.585761
18100.000000 9.050000 -0.059873 0.012150 0.587006
18200.000000 9.100000 -0.058536 0.041232 0.573910
18300.000000 9.150001 -0.055767 0.069307 0.546789
18400.000000 9.200001 -0.051634 0.095688 0.506300
18500.000000 9.250000 -0.046237 0.119730 0.453424
18600.000000 9.300000 -0.039709 0.140845 0.389446
18700.000000 9.350000 -0.032210 0.158516 0.315925
18800.000000 9.400001 -0.023922 0.172309 0.234656
18900.000000 9.450001 -0.015049 0.181885 0.147629
19000.000000 9.500000 -0.005808 0.187011 0.056977
19100.000000 9.550000 0.003575 0.187560 -0.035075
19200.000000 9.600000 0.012871 0.183518 -0.126265
19300.000000 9.650001 0.021852 0.174985 -0.214354
19400.000000 9.700001 0.030298 0.162170 -0.297182
19500.000000 9.750000 0.038003 0.145388 -0.372721
19600.000000 9.800000 0.044778 0.125051 -0.439125
19700.000000 9.850000 0.050457 0.101655 -0.494775
19800.000000 9.900001 0.054902 0.075775 -0.538318
19900.000000 9.950001 0.058004 0.048043 -0.568698
20000.000000 10.000000 0.059687 0.019137 -0.585179
