#HDR T 700.000000
#HDR DT 0.040000
#HDR theta0 0.087000
#HDR omega0 1000.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
225.000000 9.000000 8999.303711 999.893982 -9.591292
226.000000 9.040000 9039.291992 999.859436 7.863469
227.000000 9.080000 9079.291992 999.999207 -0.874120
228.000000 9.120000 9119.291016 999.847656 -6.704498
229.000000 9.160000 9159.280273 999.909668 9.804625
230.000000 9.200000 9199.284180 999.979248 -6.326451
231.000000 9.240000 9239.278320 999.824219 -1.424012
232.000000 9.280000 9279.270508 999.960205 8.223901
233.000000 9.320000 9319.275391 999.935059 -9.482260
234.000000 9.360000 9359.264648 999.832520 4.356304
235.000000 9.400000 9399.261719 999.993042 3.670600
236.000000 9.440000 9439.264648 999.882141 -9.216858
237.000000 9.480000 9479.251953 999.869629 8.590776
238.000000 9.520000 9519.253906 999.997070 -2.218937
239.000000 9.559999 9559.251953 999.839600 -5.655890
240.000000 9.599999 9599.240234 999.921631 9.757116
241.000000 9.639999 9639.245117 999.970825 -7.297454
242.000000 9.679999 9679.238281 999.823181 -0.085193
243.000000 9.719999 9719.231445 999.969666 7.410221
244.000000 9.760000 9759.236328 999.923096 -9.737977
245.000000 9.800000 9799.225586 999.838806 5.523745
246.000000 9.840000 9839.223633 999.996765 2.375273
247.000000 9.880000 9879.225586 999.870911 -8.667262
248.000000 9.920000 9919.213867 999.880859 9.163977
249.000000 9.960000 9959.216797 999.993530 -3.529926
250.000000 10.000000 9999.213867 999.833130 -4.491281
251.000000 10.040000 10039.203125 999.933716 9.519895
252.000000 10.080000 10079.208008 999.961304 -8.140480
253.000000 10.120000 10119.199219 999.823792 1.264722
254.000000 10.160000 10159.193359 999.978027 6.448497
255.000000 10.200000 10199.197266 999.910828 -9.808630
256.000000 10.240000 10239.185547 999.846252 6.579107
257.000000 10.280000 10279.184570 999.998718 1.043691
258.000000 10.320000 10319.185547 999.860413 -7.958554
259.000000 10.360000 10359.172852 999.892334 9.554070
260.000000 10.400000 10399.176758 999.988464 -4.746790
261.000000 10.440000 10439.172852 999.828186 -3.267220
262.000000 10.480000 10479.163086 999.945007 9.107324
263.000000 10.520000 10519.167969 999.950928 -8.811804
264.000000 10.559999 10559.159180 999.826294 2.581361
265.000000 10.599999 10599.154297 999.985352 5.370504
266.000000 10.639999 10639.157227 999.898865 -9.694346
267.000000 10.679999 10679.145508 999.855225 7.511198
268.000000 10.719999 10719.145508 999.999268 -0.307726
269.000000 10.760000 10759.145508 999.851074 -7.100729
270.000000 10.800000 10799.133789 999.904419 9.769448
271.000000 10.840000 10839.137695 999.982178 -5.882384
272.000000 10.880000 10879.131836 999.824890 -1.982810
273.000000 10.920000 10919.123047 999.955688 8.524110
274.000000 10.960000 10959.127930 999.939819 -9.318023
275.000000 11.000000 10999.118164 999.830261 3.840820
276.000000 11.040000 11039.114258 999.991089 4.199108
277.000000 11.080000 11079.117188 999.887085 -9.398422
278.000000 11.120000 11119.104492 999.865051 8.297446
